Years_Experience,Education_Level,Age,Gender,City_Type,Hours_Worked,Job_Satisfaction,Department,Salary
4,4,32,0,2,53,4,1,56740133
9,5,54,1,2,32,3,0,64771413
6,3,59,0,0,33,5,1,58444661
25,3,48,0,0,30,5,2,84506948
8,2,55,0,1,47,5,1,57864834
27,1,36,0,2,51,2,2,78072385
6,2,53,0,2,54,5,2,53137346
8,4,42,0,0,50,5,1,68768520
7,4,26,0,0,36,2,2,57600050
11,5,27,0,1,28,5,2,66256082
1,5,59,1,1,29,4,0,51615632
0,4,43,1,0,27,5,0,41216561
15,4,39,1,2,40,5,2,71395269
22,4,35,1,1,32,2,3,80525926
22,2,31,0,0,24,4,1,72686988
29,4,34,1,0,25,3,2,93762110
23,3,52,1,2,49,1,1,82626866
4,1,51,0,0,50,4,0,39884754
2,4,24,0,0,36,3,1,38641800
11,1,51,0,1,30,4,2,57555394
7,2,27,0,0,39,3,2,41913387
21,1,50,0,0,28,3,2,71103795
26,2,29,1,1,21,4,2,80672439
2,3,54,0,2,56,2,3,56702333
0,2,38,1,2,20,4,3,34676977
2,2,32,1,1,23,4,3,35050056
4,5,34,0,1,55,3,2,60233461
14,4,32,1,2,44,1,3,66893520
13,4,52,1,2,22,3,1,65932230
2,3,49,0,2,28,5,2,46935702
0,3,27,1,2,41,4,0,30733073
4,4,37,1,2,42,4,2,59558583
25,5,25,1,1,31,2,1,83181537
22,4,56,0,0,29,3,3,92116645
13,5,47,0,2,53,2,2,84064293
6,3,33,0,2,29,4,3,47964308
26,1,32,1,0,49,3,2,75176553
8,3,58,0,0,41,3,1,61075766
14,3,46,1,0,25,5,2,72610786
14,2,39,0,0,21,5,3,63647652
25,2,40,1,0,49,1,3,84933784
9,2,44,0,0,21,5,1,45823626
27,2,59,0,1,51,3,2,96840169
12,5,39,1,0,35,5,0,71802160
18,4,47,0,0,31,1,2,75033731
6,1,27,1,1,20,4,1,31537588
16,3,25,0,0,27,5,0,63078001
19,5,50,0,2,32,3,1,81703035
28,1,55,1,2,34,4,2,88730161
3,5,38,1,0,27,3,0,46765831
29,5,37,1,1,29,4,1,101792801
4,3,23,0,2,24,3,3,42186258
22,4,55,1,1,38,5,0,84644545
6,2,29,0,2,57,5,0,45707971
12,4,34,1,0,30,1,1,64471805
14,3,29,1,1,39,4,3,62582816
10,3,51,1,1,39,1,0,52596626
28,3,53,1,1,40,2,1,91614004
3,1,57,1,2,37,5,0,39326719
12,4,51,1,2,29,4,0,68904563
6,4,22,0,2,53,1,0,44454318
26,5,38,1,0,45,1,3,102303974
18,5,41,0,2,49,2,2,80778429
21,5,45,1,0,28,1,2,86418037
27,3,43,1,1,50,3,3,99513937
1,4,50,1,1,23,5,3,54573449
9,3,43,0,0,25,1,1,48727255
12,1,30,0,2,33,1,0,43703194
29,5,58,1,0,23,2,3,108169709
24,3,31,0,1,45,3,1,85883034
20,3,57,1,1,58,1,2,85449621
5,1,58,1,0,36,5,2,45727813
27,2,49,0,2,38,5,2,90132829
27,4,49,0,2,25,1,2,96548544
11,2,42,0,0,48,3,1,57516178
11,5,45,0,0,30,5,0,73600582
19,3,23,1,2,35,5,1,70549826
29,1,29,0,1,49,3,0,78608394
29,1,48,0,0,44,3,2,85806820
10,4,43,1,2,59,1,3,67148466
25,2,58,0,2,30,4,3,93256692
22,4,48,0,1,26,2,3,82668897
27,3,50,0,1,45,4,0,92416504
24,4,24,0,1,41,4,2,84762633
6,1,34,1,1,44,5,1,44170305
29,1,31,1,1,38,3,3,79273767
0,5,57,0,0,50,5,0,55403034
0,5,30,0,2,45,2,3,46066538
24,3,48,1,0,55,1,1,86482237
26,2,55,0,0,42,2,2,84628347
29,4,22,0,0,32,5,1,91589696
24,3,53,0,0,44,5,2,96466177
19,5,46,0,0,21,5,2,84094914
12,4,50,0,1,21,5,2,70901865
8,5,28,0,1,35,4,3,69320721
2,4,24,0,2,28,1,1,39179577
6,2,41,0,0,47,4,3,56320116
5,3,41,0,2,32,5,1,49540896
7,4,51,1,1,54,3,0,56836322
26,1,56,1,1,32,4,0,74258116
8,1,56,1,1,50,5,1,52155449
29,4,48,0,0,40,5,1,98730239
4,4,47,0,0,51,1,1,55488935
0,4,35,1,1,53,2,1,42233520
18,1,38,0,2,27,4,2,64348703
9,1,39,1,2,21,4,3,48376839
11,4,50,0,1,57,4,2,75244806
23,5,41,1,2,51,5,3,100521510
14,5,48,1,1,59,1,3,84913638
26,2,39,1,2,47,5,3,85570663
21,3,25,0,1,56,5,2,81922472
23,5,22,1,2,20,3,1,85337102
8,1,22,0,0,29,1,2,37834478
19,5,47,0,1,23,4,2,85494641
16,2,41,0,1,54,2,3,71903377
29,2,44,0,2,29,4,0,87505737
16,3,31,0,1,30,5,0,66915157
25,5,32,0,1,33,1,2,89170993
19,1,26,0,1,57,1,3,65510662
11,1,22,1,0,31,1,2,39156610
29,4,38,1,0,36,3,2,94636301
6,1,43,1,2,35,4,1,39737099
1,3,55,0,0,54,3,3,58035661
2,3,50,0,2,21,2,0,35111356
16,1,25,0,0,30,5,0,50521004
4,1,26,0,2,22,3,0,30539023
16,4,32,1,0,48,3,2,76356687
23,1,42,0,0,37,5,3,78275445
16,4,56,1,2,39,1,1,76926771
26,4,33,0,1,33,5,0,90902213
16,1,47,1,1,53,4,3,67536454
1,2,40,0,0,50,5,0,35994999
1,2,28,1,2,59,1,1,30777725
27,4,28,0,1,37,5,3,96739959
21,1,47,1,2,49,3,2,75493832
22,2,26,0,1,44,2,2,68543961
4,1,42,1,2,38,3,0,36628556
0,1,35,1,0,27,2,0,23617209
0,1,25,0,2,47,5,3,28159966
18,5,44,1,1,27,4,1,84195190
29,1,41,0,0,50,5,0,81231126
1,5,36,0,2,22,1,3,48267136
20,4,50,0,1,22,5,1,78732103
11,2,29,1,0,41,2,0,46183587
25,2,40,1,2,36,3,0,82013428
5,2,49,0,1,55,4,3,58084640
22,2,48,0,2,36,5,0,74474272
3,2,25,1,2,33,5,2,35518422
22,2,36,1,0,28,3,1,67759144
10,2,56,1,0,49,4,1,56418838
23,4,58,0,1,40,5,2,96920632
26,1,22,0,0,31,5,3,72989580
16,3,24,0,1,56,2,2,65125635
5,5,45,0,2,51,2,2,60680413
23,3,48,0,2,30,1,1,79083327
4,3,57,1,1,39,3,3,57369854
19,1,55,0,2,54,4,0,74978700
1,1,50,1,0,30,5,2,34904490
5,1,45,1,2,27,5,2,43545340
21,2,45,0,0,23,1,3,72055035
10,4,25,1,1,46,5,2,67055687
15,2,24,0,1,59,3,3,64523088
15,4,55,1,2,57,1,0,74653206
0,4,44,0,2,49,3,3,47963208
8,3,44,0,0,46,1,0,48935583
27,3,26,1,0,40,5,3,94530611
26,4,52,0,2,39,1,2,95309661
5,4,27,1,2,23,2,0,39757721
15,2,58,0,1,30,4,2,71806834
28,2,31,0,1,32,5,0,85600744
2,3,28,0,1,28,4,3,43888956
19,1,59,1,2,23,5,3,72079449
27,4,42,1,2,31,4,3,101384537
26,2,41,0,2,28,2,1,73751712
3,3,24,1,1,32,4,1,35975288
18,2,43,0,2,45,1,0,64824733
25,4,25,1,0,57,4,1,89209582
2,4,49,1,2,32,5,3,58738341
18,5,33,0,2,58,3,1,81162353
19,1,59,0,2,47,4,1,71072093
6,5,57,0,2,38,4,2,64234391
19,3,26,0,2,43,4,0,65912784
8,2,34,0,0,38,5,0,47014206
0,3,44,1,0,32,4,0,36928367
7,4,51,1,2,32,5,1,63932187
6,5,58,0,1,47,5,3,69981872
17,5,46,0,2,21,3,2,83061821
7,5,48,0,2,29,1,0,54121064
0,3,35,1,2,41,5,1,42799275
10,4,57,0,1,32,2,3,67185400
27,2,37,0,1,28,4,2,78422994
24,2,43,1,1,52,2,2,85829315
24,3,42,1,0,33,4,0,86131956
17,5,42,1,1,39,3,0,79102005
22,1,29,1,0,34,5,3,71024760
29,3,37,0,0,51,1,1,88382460
9,3,52,1,1,52,5,3,70318986
2,4,31,1,1,36,4,0,48886189
6,2,53,0,1,43,1,3,55716557
27,3,55,0,0,49,5,1,101539868
15,3,30,0,2,32,1,2,64630992
25,5,38,1,1,35,4,2,93832833
15,5,32,0,1,21,3,2,68178147
24,1,53,1,1,36,3,2,78755945
19,4,31,1,0,51,5,0,83113091
27,1,43,1,0,27,2,0,74548399
16,5,38,0,2,22,4,1,71174989
1,2,25,1,1,31,5,1,36725551
0,5,46,0,0,39,5,1,54972120
15,4,42,0,2,35,3,1,69108648
29,5,58,0,1,33,1,3,106385155
11,4,59,1,0,35,4,1,69791484
4,4,22,1,1,52,1,2,44827838
4,4,46,1,1,49,4,2,62064197
26,4,57,0,0,31,2,2,92226528
22,4,38,1,0,34,3,3,87372466
8,2,45,1,0,37,2,1,49997767
8,1,23,1,1,47,5,2,48923362
2,3,36,1,1,42,3,2,44993792
18,1,53,1,2,33,5,2,71146656
15,4,27,0,1,49,2,2,68537023
15,2,22,0,0,52,4,0,62782048
2,5,44,0,1,34,5,1,59437039
19,2,38,0,2,26,1,1,67587933
23,4,55,1,2,34,4,3,95182165
21,2,50,0,0,57,4,0,82900566
23,2,30,1,0,30,2,3,77803672
0,4,34,0,2,48,2,2,46205067
23,2,27,0,2,50,3,3,77306708
19,3,27,0,2,44,3,2,75280873
10,3,41,1,0,43,1,2,62948438
16,2,24,1,2,38,4,1,63928115
7,5,38,0,2,21,1,1,56205404
3,4,33,1,0,41,1,1,42887979
5,3,22,0,1,39,2,1,46425088
7,5,38,0,1,52,1,1,58807296
19,2,24,0,2,27,1,0,55526921
29,5,47,1,1,44,5,1,111700302
2,1,36,0,1,28,3,3,34444929
15,3,57,0,1,53,3,2,80559079
29,2,53,0,1,42,4,1,96774965
24,4,53,1,2,24,3,0,89716584
2,2,25,0,1,44,4,3,36271028
24,4,39,1,1,27,5,3,86756435
28,2,40,0,0,35,3,2,89236606
17,5,56,1,2,34,5,3,92016874
13,5,35,0,0,20,3,3,67438359
17,5,54,0,0,41,3,3,92211981
1,1,35,1,2,22,5,3,30908136
21,4,55,1,1,57,1,0,89857551
2,5,25,0,0,33,1,2,47602785
15,1,45,1,2,55,1,1,61312814
28,4,50,0,1,37,1,3,103732770
8,2,40,0,2,37,3,0,46864179
3,1,27,0,0,22,2,2,29782843
0,3,54,1,1,29,5,1,39982207
3,1,40,0,1,58,2,2,44852105
0,1,22,1,2,20,2,0,15921453
13,4,26,0,1,46,4,0,64481328
20,2,48,1,0,46,1,0,72769514
15,3,37,1,0,30,3,3,71050537
19,5,27,0,0,24,1,0,68878873
23,5,34,1,2,26,1,1,80266548
7,1,56,0,1,38,2,3,49518633
6,4,40,0,1,48,4,2,61449655
2,4,33,0,1,34,1,1,40896057
16,5,37,0,0,54,5,3,81820026
0,3,31,0,1,56,5,0,42025713
15,2,46,1,0,31,1,2,62295986
11,3,41,0,1,49,2,0,62140786
26,2,52,1,0,39,2,1,84524107
18,5,25,1,1,56,3,1,76546295
21,2,44,0,2,22,4,3,73629198
22,4,23,1,2,28,2,1,73965530
21,1,43,0,0,58,3,2,70394526
13,1,58,1,0,45,5,3,64656811
29,5,29,1,1,21,5,2,96475521
5,4,28,1,1,42,5,0,54682074
5,3,35,0,2,42,1,2,48098931
12,4,24,1,1,40,4,2,66927080
18,1,37,0,0,35,3,1,59774015
21,1,40,1,0,28,4,0,61638275
7,4,39,1,0,32,1,1,55193956
26,4,37,1,0,47,3,0,89225300
26,1,29,1,0,46,3,0,74257049
1,3,54,0,2,36,2,2,46352903
20,5,33,0,2,57,4,1,87130278
29,5,32,1,0,55,4,2,108237101
0,4,26,1,1,20,2,2,38724381
27,5,48,0,0,37,5,2,99633597
14,1,33,0,2,28,1,0,44345348
0,1,38,0,0,32,4,1,28361295
4,4,27,0,2,59,2,1,49104494
27,4,54,1,2,34,3,2,96475780
28,4,26,1,0,23,2,0,87041282
15,3,49,0,0,52,5,1,73213942
18,5,35,0,1,43,1,3,81397596
3,4,26,0,2,55,5,1,48314564
2,2,54,0,1,29,3,2,40710806
16,2,40,0,0,55,3,3,71415054
16,1,43,0,2,39,3,0,61156408
11,5,26,1,1,30,3,3,67982919
27,4,23,1,1,31,2,3,87275326
29,2,51,1,1,37,3,2,96746164
28,5,25,0,0,49,3,1,94367349
13,1,54,0,0,56,2,0,58938695
20,3,34,0,0,39,3,3,76589974
5,5,41,1,2,44,5,2,66638911
2,5,28,0,0,31,5,1,53065927
27,3,36,0,2,40,4,3,91744899
8,5,44,1,1,44,5,2,66184402
4,1,35,0,1,30,1,2,34691766
23,1,44,1,0,28,1,2,73395665
28,3,40,1,1,44,1,0,92028093
16,4,50,0,0,54,2,1,82977500
13,2,41,1,2,51,5,3,70667584
20,4,50,0,1,33,1,1,81005747
2,5,45,1,0,20,4,1,53845781
27,2,39,0,1,36,2,3,84742546
0,3,31,1,1,44,4,1,34559099
19,3,29,0,0,27,5,0,66937310
28,2,47,1,1,24,3,3,85425542
20,1,50,1,1,24,4,3,71706657
22,2,31,1,1,54,3,2,72820678
0,5,38,0,1,38,2,1,46425298
2,1,23,0,2,42,4,3,36270782
17,3,27,1,1,28,4,3,66979628
24,2,26,0,1,49,2,0,76892054
9,4,49,1,0,35,2,2,64733938
21,4,26,0,2,52,1,3,78231360
25,5,39,1,0,21,5,0,93465472
2,4,47,0,0,33,4,3,55453470
7,2,41,1,0,20,4,3,53158554
13,2,48,1,2,45,2,3,62640689
23,4,33,1,0,44,2,0,85130112
17,2,28,1,0,35,5,1,61804379
14,5,24,0,0,34,2,3,74745188
21,1,31,1,1,45,3,3,72552840
22,5,55,0,0,35,3,1,92404395
1,5,46,0,2,33,3,3,60162289
26,2,56,1,2,48,3,2,94706954
9,1,37,0,1,43,5,3,47699800
1,2,23,0,2,34,4,2,36674433
25,3,45,0,2,38,3,1,89537446
16,2,31,1,1,27,2,0,53130174
7,2,59,0,0,53,3,1,53628627
0,2,43,0,1,21,5,3,33955327
8,1,47,1,0,46,2,2,48653225
10,2,48,1,0,29,3,0,49466152
21,1,50,0,2,54,4,3,76671487
15,4,59,1,1,42,2,0,78808825
6,3,41,0,2,27,2,0,46471165
28,1,48,0,2,47,4,3,92832650
9,4,41,0,0,42,2,1,61878728
22,1,40,1,2,23,3,3,73814291
25,1,41,0,1,33,2,3,73164123
2,3,56,1,2,48,3,1,54680787
17,5,23,1,2,20,4,2,75029339
24,5,51,0,0,23,1,3,91428142
23,1,55,1,1,51,4,0,73405068
12,2,43,1,2,52,3,3,63389191
27,4,24,1,0,45,5,3,96535642
25,2,27,1,2,36,4,0,77124132
6,2,36,1,1,58,5,1,54123004
24,1,48,0,2,42,5,2,84641890
3,1,31,1,2,51,3,2,38472483
12,1,30,0,0,34,3,0,45819951
19,1,54,0,2,32,1,1,66663695
0,5,53,0,0,21,2,3,55840408
7,1,27,0,1,38,4,3,42287422
13,5,57,0,2,43,3,3,83756025
15,5,23,0,1,43,4,3,78612445
13,1,50,1,1,30,5,3,60260787
11,3,25,1,2,41,2,0,55523749
18,4,22,1,0,34,1,3,69713894
22,2,40,0,1,29,4,3,80819489
14,5,47,1,1,46,2,1,79764376
27,4,46,1,2,28,1,3,93243899
1,3,31,1,2,47,4,2,46825518
1,2,36,0,2,20,2,0,29096069
22,2,43,1,2,36,3,0,70745313
21,5,42,0,2,50,4,0,85041627
18,1,43,1,2,29,2,2,64846688
24,3,57,0,0,56,1,3,97593659
25,5,55,0,1,48,2,0,99478131
29,3,51,0,0,37,3,2,101286415
28,1,46,1,0,57,4,1,90212928
21,1,49,1,2,58,4,3,74869483
25,5,22,0,1,25,4,2,87789948
25,1,25,1,0,59,3,3,73348720
21,4,28,0,2,31,1,1,71987582
16,2,30,0,2,33,4,2,64054268
19,5,57,1,1,29,1,3,91073648
9,3,40,1,0,39,2,2,55069474
5,4,22,1,0,34,1,0,42298486
14,5,31,0,0,50,1,3,76100384
21,1,57,0,2,26,4,2,74399633
10,1,30,1,1,29,5,0,47621646
27,1,53,0,1,29,5,1,83304475
4,1,53,1,0,58,3,3,46242322
0,3,27,0,2,47,3,3,44569522
7,4,59,1,0,49,5,1,72074890
20,2,38,1,1,56,2,0,72884915
27,3,31,0,2,22,4,1,83455758
11,3,48,1,0,34,4,3,63424523
11,2,56,1,0,40,2,2,63219709
4,2,42,0,2,56,2,0,47925451
6,1,46,1,1,31,5,0,45076497
3,3,49,0,2,23,3,0,43346319
5,5,36,1,0,28,2,1,56226017
12,2,25,0,0,58,3,1,51379520
19,2,50,1,0,47,1,2,74327288
29,4,30,1,0,42,4,2,100120092
14,5,48,1,1,59,5,0,79949292
2,5,47,1,1,41,4,2,62896356
22,2,40,0,0,43,5,1,80837400
7,1,49,0,1,45,1,2,48220215
19,4,38,0,1,49,4,1,81223260
15,5,41,0,1,52,1,2,75763205
12,2,44,0,0,35,5,3,58635488
17,5,53,0,2,41,2,1,82643433
27,4,54,0,2,37,4,3,104660516
9,4,26,1,2,26,1,1,54637307
29,3,55,1,0,45,4,2,104227574
18,2,32,1,1,27,4,3,69786105
16,4,24,1,1,25,4,2,69949706
23,3,54,0,0,49,3,1,89258839
18,3,32,0,0,58,1,3,76005126
27,5,37,0,2,42,1,0,98456913
25,5,39,1,2,51,4,2,97119540
22,3,51,0,0,41,2,1,86113678
25,5,31,1,2,28,4,3,98022339
4,4,39,0,1,50,3,2,58479375
25,1,59,0,0,26,5,3,82481870
20,4,40,0,0,28,3,2,78129195
29,3,57,0,1,32,2,2,99474449
22,3,34,1,1,22,4,2,81926853
8,4,24,1,1,54,1,3,57912385
11,5,31,0,2,52,4,3,71538731
20,5,59,1,0,40,2,2,92547993
0,3,22,0,2,50,1,0,33314700
25,2,48,0,1,53,3,0,84441168
25,5,29,0,2,51,5,0,89092527
0,4,38,0,1,54,5,1,53568537
14,5,30,1,2,34,4,0,65212736
1,4,27,0,2,51,3,3,52906766
29,3,46,0,1,25,2,0,92505547
21,5,49,1,2,40,5,3,99137431
15,4,54,0,0,52,3,1,74078739
24,3,58,1,2,51,4,3,98782529
7,2,30,0,2,38,1,3,49831331
12,4,39,0,0,52,4,3,70728366
20,2,42,0,1,47,4,0,71851307
0,2,23,0,0,50,3,2,30850908
15,1,59,0,2,40,5,3,72898769
28,5,57,0,1,53,3,0,106102554
6,4,58,1,2,34,1,0,56308435
4,2,36,0,2,33,3,0,32790701
21,1,49,1,0,38,2,2,71745916
28,3,39,1,0,34,4,2,88374542
22,4,55,0,1,25,5,2,88615994
2,2,43,1,1,28,1,2,34299172
11,5,32,0,1,56,4,1,68931770
25,1,34,1,2,39,3,2,77853495
15,2,25,0,0,53,2,2,58023413
18,5,43,1,0,57,3,2,84602562
4,2,28,1,0,45,4,3,44007577
21,4,45,0,1,37,1,3,85182048
24,4,25,1,0,47,5,2,86459203
28,4,49,0,0,28,4,1,95169398
13,1,36,0,0,51,1,3,56656029
27,4,22,0,1,25,4,0,81458618
4,5,24,0,0,33,2,3,58388817
14,2,35,0,1,47,3,0,61600776
16,3,59,1,0,43,5,3,83947058
29,5,22,1,0,32,1,2,97893955
13,5,59,1,0,31,5,3,85539976
29,4,59,0,1,38,5,2,106352858
19,1,42,1,1,40,5,2,71467143
4,2,50,1,0,46,1,3,52049649
11,1,26,1,2,38,1,0,41644838
15,2,31,1,1,43,5,0,61552437
25,2,49,1,1,45,3,3,86001777
25,1,42,0,0,47,4,2,79296271
15,5,28,0,2,37,5,0,68193345
20,2,24,1,0,55,2,1,72959011
6,1,41,0,1,48,5,2,45153203
3,2,40,0,1,36,1,3,38945871
0,3,56,1,0,23,4,2,47561090
29,5,25,1,0,48,2,1,95838871
29,4,26,0,2,23,4,1,85758621
4,2,22,1,2,29,4,0,35623330
22,3,25,0,1,44,2,1,70607609
25,4,33,0,2,50,5,2,91502807
9,4,48,1,2,22,5,0,55230099
21,2,44,0,1,21,5,1,69294269
4,1,46,0,1,44,3,0,33718241
3,2,42,0,1,25,5,0,39124277
1,3,45,1,1,45,2,3,51986424
19,4,46,1,0,27,3,0,78379736
9,2,53,1,1,54,5,0,57267757
25,1,53,1,1,46,3,1,75476430
18,2,26,0,1,44,2,2,61002475
25,5,57,1,2,37,5,2,107207050
0,1,37,1,1,20,1,1,22027526
23,3,54,1,0,58,2,2,91088203
4,4,42,1,0,22,4,0,53009153
12,2,30,0,1,23,4,3,53461365
3,1,27,0,0,56,2,0,35349654
15,5,56,0,2,34,4,0,83973021
23,1,43,1,1,27,2,3,73465102
15,5,26,1,0,57,1,1,71405349
22,3,44,0,0,38,2,0,81968044
1,4,38,1,1,45,5,0,50648893
16,3,33,1,0,58,5,1,70202450
27,2,44,0,1,29,3,0,79408681
26,1,37,0,0,57,4,0,77765943
19,5,24,1,2,33,4,2,81512861
23,5,51,1,0,38,2,1,92177796
11,1,43,1,0,49,4,0,52679064
17,1,30,0,1,24,5,0,49914938
2,2,50,0,0,50,1,3,43670132
27,3,58,0,1,26,2,3,93653054
0,5,44,0,2,38,4,3,53189642
0,2,34,1,1,50,5,0,37534806
28,3,53,0,1,58,3,0,95575919
18,2,44,0,0,43,4,3,77707441
10,5,38,1,2,53,1,2,70666900
4,1,42,1,1,42,1,2,35308086
11,1,23,1,0,59,4,2,54514140
2,3,58,0,0,25,4,2,51283450
0,4,27,1,1,57,5,1,48699876
0,3,39,1,0,55,4,3,45038782
7,4,51,0,1,46,3,0,61277772
9,2,43,0,1,30,5,3,58938609
10,2,54,1,1,24,2,2,51609387
11,5,51,0,2,36,3,0,69333310
28,4,38,1,1,26,5,1,89383094
12,5,53,1,0,46,5,3,82869501
11,1,35,0,2,34,1,0,38266804
13,4,31,1,0,32,5,0,65019261
1,3,57,0,2,30,3,2,48415766
28,1,55,0,2,45,4,2,85967139
18,1,30,0,2,41,3,3,65148932
17,3,49,1,2,47,2,1,72684936
2,1,32,0,0,43,5,0,31275564
22,4,35,0,1,48,5,2,87589359
16,5,40,1,0,28,5,3,83136093
